3 => 5 0.189189189189
15 13 => 17 1.0
3 10 => 20 1.0
12 14 => 11 0.0909090909091
12 14 => 10 0.0909090909091
12 14 => 15 0.181818181818
12 14 => 19 0.0909090909091
12 14 => -5 0.0909090909091
12 14 => 3 0.0909090909091
12 14 => 5 0.181818181818
12 14 => 7 0.0909090909091
12 14 => -9 0.0909090909091
12 -4 => 14 1.0
17 19 => 10 0.181818181818
17 19 => 15 0.181818181818
17 19 => 17 0.0909090909091
17 19 => 0 0.181818181818
17 19 => 3 0.0909090909091
17 19 => 5 0.0909090909091
17 19 => 20 0.0909090909091
17 19 => -9 0.0909090909091
11 17 => 15 0.166666666667
11 17 => -10 0.333333333333
11 17 => 12 0.166666666667
11 17 => -1 0.166666666667
11 17 => 14 0.166666666667
-10 => 24 0.1
-10 => 15 0.2
-10 => 14 0.1
-10 => 17 0.3
-10 => -12 0.2
-10 => -17 0.1
24 15 => 20 1.0
14 7 => 12 0.25
14 7 => -7 0.25
14 7 => 2 0.25
14 7 => 17 0.25
13 15 => 3 1.0
10 12 => 10 0.111111111111
10 12 => 15 0.111111111111
10 12 => 14 0.333333333333
10 12 => -4 0.111111111111
10 12 => 7 0.111111111111
10 12 => 6 0.111111111111
10 12 => 8 0.111111111111
19 13 => 15 1.0
17 129 => 17 1.0
17 15 12 => 19 1.0
12 15 14 => -9 0.333333333333
12 15 14 => 15 0.666666666667
7 8 => 12 0.25
7 8 => -9 0.25
7 8 => 17 0.5
0 22 => 16 1.0
129 3 => 5 1.0
-5 12 => 11 0.666666666667
-5 12 => 14 0.333333333333
9 15 14 => 10 1.0
23 15 => 24 1.0
14 11 => 12 0.666666666667
14 11 => 17 0.333333333333
19 22 => 5 1.0
12 20 => -4 0.333333333333
12 20 => -12 0.333333333333
12 20 => 17 0.333333333333
12 -2 => 0 1.0
18 19 => 14 1.0
10 15 => 10 0.25
10 15 => 17 0.5
10 15 => 7 0.25
7 11 => 14 0.5
7 11 => 17 0.5
0 3 => -4 0.333333333333
0 3 => 2 0.666666666667
9 14 => 10 1.0
20 14 => 8 0.5
20 14 => 17 0.5
8 11 => 3 1.0
19 3 => 12 0.5
19 3 => 22 0.5
17 -10 => -12 0.5
17 -10 => 15 0.5
22 15 => 25 1.0
5 7 => 11 0.333333333333
5 7 => 10 0.333333333333
5 7 => 8 0.333333333333
15 -12 => 14 0.5
15 -12 => 7 0.5
12 -9 => -4 0.5
12 -9 => 10 0.5
17 => 20 0.08
17 => -24 0.0133333333333
17 => 0 0.0133333333333
17 => 3 0.04
17 => 2 0.0266666666667
