7 => 6 0.0490797546012
7 => 9 0.0245398773006
7 => 8 0.0368098159509
7 => -10 0.0184049079755
7 => -13 0.0184049079755
7 => -12 0.0122699386503
7 => -14 0.0306748466258
7 => -17 0.0122699386503
7 => -16 0.00613496932515
7 => 11 0.0184049079755
7 => 10 0.0490797546012
7 => 12 0.0674846625767
7 => 15 0.0122699386503
7 => 14 0.0245398773006
7 => 19 0.257668711656
7 => 18 0.00613496932515
7 => -5 0.0368098159509
7 => -4 0.0122699386503
7 => -7 0.0122699386503
7 => -1 0.0184049079755
7 => -2 0.0490797546012
7 => -8 0.00613496932515
-2 0 => -15 1.0
12 -1 => 11 0.666666666667
12 -1 => -11 0.333333333333
10 3 => 7 1.0
10 14 => 0 0.4
10 14 => 2 0.2
10 14 => 15 0.4
-12 14 15 => 19 1.0
15 129 => 12 0.5
15 129 => -3 0.5
2 12 => 9 0.4
2 12 => 3 0.4
2 12 => 2 0.2
-3 -12 => 0 1.0
-2 3 7 => 10 1.0
-22 => 2 0.5
-22 => 7 0.5
7 12 => 15 0.272727272727
7 12 => 7 0.0909090909091
7 12 => 0 0.181818181818
7 12 => 3 0.0909090909091
7 12 => -17 0.0909090909091
7 12 => -9 0.181818181818
7 12 => 14 0.0909090909091
-16 -6 => 3 1.0
-4 0 12 => 11 1.0
11 14 12 => 11 0.25
11 14 12 => 15 0.5
11 14 12 => 7 0.25
-3 -6 => 12 0.5
-3 -6 => -15 0.5
8 10 => 8 0.333333333333
8 10 => -7 0.333333333333
8 10 => 12 0.166666666667
8 10 => 7 0.166666666667
0 -16 => -6 1.0
17 14 => 11 0.375
17 14 => -17 0.25
17 14 => 17 0.25
17 14 => 16 0.125
4 => -5 0.0384615384615
4 => 12 0.115384615385
4 => 14 0.0384615384615
4 => 16 0.0769230769231
4 => -11 0.0384615384615
4 => 2 0.115384615385
4 => 5 0.153846153846
4 => -12 0.192307692308
4 => 7 0.192307692308
4 => -19 0.0384615384615
-10 -6 => -12 1.0
-7 12 => 10 0.666666666667
-7 12 => 0 0.333333333333
0 -9 => 12 1.0
-17 14 2 14 => 1 1.0
-16 5 => 13 0.333333333333
