3 => 15 0.016393442623
3 => 7 0.131147540984
3 => -2 0.0655737704918
3 => 1 0.0655737704918
3 => 0 0.114754098361
3 => -7 0.016393442623
3 => 2 0.27868852459
3 => -1 0.0655737704918
3 => 4 0.0327868852459
3 => -3 0.016393442623
3 => 6 0.0655737704918
3 => 8 0.0491803278689
-14 -6 => -8 1.0
-6 -5 => -4 0.666666666667
-6 -5 => -1 0.333333333333
9 6 => 1 0.25
9 6 => 3 0.5
9 6 => 2 0.25
-4 0 => 3 0.333333333333
-4 0 => 5 0.333333333333
-4 0 => 6 0.333333333333
-8 -4 => -1 1.0
33 => 31 1.0
-2 1 => 4 0.333333333333
-2 1 => -2 0.666666666667
-3 9 => 6 1.0
20 19 => 17 1.0
4 -2 => -5 0.5
4 -2 => -4 0.5
7 2 => 0 0.5
7 2 => -2 0.5
0 => 1 0.0645161290323
0 => -6 0.0645161290323
0 => 15 0.0161290322581
0 => -2 0.112903225806
0 => -5 0.0322580645161
0 => -4 0.0806451612903
0 => 3 0.177419354839
0 => 2 0.0161290322581
0 => -1 0.241935483871
0 => 4 0.0806451612903
0 => 6 0.0161290322581
0 => 9 0.0161290322581
0 => 8 0.0161290322581
0 => 5 0.0483870967742
0 => -9 0.0161290322581
-1 -2 -4 => -6 1.0
1 0 -1 => -2 1.0
-14 -9 => -5 0.333333333333
-14 -9 => -10 0.666666666667
-7 -8 => -10 0.5
-7 -8 => -9 0.5
5 3 => 1 0.0714285714286
5 3 => 2 0.642857142857
5 3 => 12 0.214285714286
5 3 => 15 0.0714285714286
7 10 => 13 1.0
8 5 3 => 12 0.5
8 5 3 => 15 0.5
-3 -4 => -5 0.666666666667
-3 -4 => 8 0.111111111111
-3 -4 => -6 0.111111111111
-3 -4 => 4 0.111111111111
-2 -8 => -11 1.0
0 -2 -3 => 0 0.5
0 -2 -3 => -2 0.5
0 5 => 0 0.666666666667
0 5 => 10 0.333333333333
5 -1 -3 => 9 1.0
10 7 => 3 1.0
-11 -12 => -5 0.666666666667
-11 -12 => -4 0.333333333333
-10 -4 => -10 0.666666666667
-10 -4 => -7 0.333333333333
14 19 => 17 0.333333333333
14 19 => 23 0.666666666667
-4 -12 => -13 1.0
9 3 => 1 0.5
9 3 => 0 0.5
0 -4 -5 => 4 0.5
0 -4 -5 => -2 0.5
3 -7 => -4 1.0
-7 -1 => 2 1.0
34 => 32 1.0
-9 3 => -2 1.0
7 6 => 9 0.111111111111
7 6 => 5 0.666666666667
7 6 => 2 0.111111111111
7 6 => 15 0.111111111111
10 => 11 0.0689655172414
10 => 13 0.0344827586207
10 => 15 0.0344827586207
10 => 5 0.137931034483
10 => 7 0.0689655172414
10 => 6 0.103448275862
10 => 9 0.241379310345
10 => 8 0.310344827586
26 => 24 0.857142857143
26 => 31 0.142857142857
16 14 => 12 1.0
11 7 12 => 17 1.0
-10 -1 => -4 1.0
1 2 => 3 1.0
-9 -4 => -5 0.333333333333
-9 -4 => -13 0.333333333333
-9 -4 => -12 0.333333333333
6 => 11 0.0882352941176
6 => 10 0.0294117647059
6 => 15 0.0588235294118
6 => 1 0.0588235294118
6 => 0 0.0294117647059
6 => 3 0.176470588235
6 => 2 0.0588235294118
6 => 5 0.235294117647
6 => 4 0.0294117647059
6 => 7 0.0588235294118
6 => 9 0.176470588235
-6 5 => 6 1.0
12 10 => 9 0.125
12 10 => 8 0.875
-2 6 => 1 0.5
-2 6 => 5 0.5
-5 -14 => -9 1.0
15 9 => 15 1.0
-14 -12 => 8 0.5
-14 -12 => 15 0.5
-12 -7 => -4 1.0
18 12 => 7 1.0
-14 -9 -10 => -2 1.0
2 7 12 => 10 1.0
3 -3 -4 => 8 1.0
8 6 => 15 1.0
-2 -6 => 1 0.333333333333
-2 -6 => -8 0.666666666667
-1 -2 => -4 0.166666666667
-1 -2 => -10 0.0833333333333
-1 -2 => -1 0.0833333333333
-1 -2 => -3 0.5
-1 -2 => 6 0.166666666667
-3 1 => -3 1.0
-11 => -10 0.214285714286
-11 => 1 0.0714285714286
-11 => 0 0.0714285714286
-11 => -13 0.142857142857
-11 => -12 0.214285714286
-11 => -14 0.142857142857
-11 => -2 0.142857142857
12 17 => 12 0.333333333333
12 17 => 15 0.333333333333
12 17 => 22 0.333333333333
1 -1 => 8 0.333333333333
1 -1 => -3 0.166666666667
1 -1 => -2 0.5
-5 1 => 4 1.0
-3 0 => 3 0.333333333333
-3 0 => 2 0.333333333333
-3 0 => 5 0.333333333333
13 12 => 11 1.0
-1 2 => -1 0.375
-1 2 => 7 0.5
-1 2 => 6 0.125
10 11 => 12 1.0
5 0 => -4 1.0
-6 -7 => 1 0.142857142857
-6 -7 => -9 0.285714285714
-6 -7 => -8 0.571428571429
0 4 => 7 1.0
9 10 => 11 1.0
-5 3 => -2 1.0
-12 -14 => -5 1.0
-9 -8 => -7 1.0
2 0 => -1 0.6
2 0 => 3 0.133333333333
2 0 => 15 0.0666666666667
2 0 => 4 0.0666666666667
2 0 => -2 0.133333333333
26 31 => 35 1.0
16 14 12 11 => 9 1.0
5 2 => 0 0.333333333333
5 2 => -1 0.333333333333
5 2 => -2 0.333333333333
-10 -1 -4 => -7 1.0
23 26 => 31 1.0
5 => 10 0.0408163265306
5 => 14 0.0408163265306
5 => -5 0.0204081632653
5 => 0 0.0816326530612
5 => 3 0.285714285714
5 => 2 0.0612244897959
5 => -1 0.0612244897959
5 => 4 0.224489795918
5 => 7 0.0408163265306
5 => 6 0.0612244897959
5 => 8 0.0204081632653
5 => 1 0.0612244897959
-5 -4 => 5 0.25
-5 -4 => -1 0.25
-5 -4 => -3 0.5
-9 0 => -6 0.333333333333
-9 0 => -2 0.666666666667
12 7 => 11 0.333333333333
12 7 => 3 0.666666666667
12 8 => 12 0.5
12 8 => 14 0.5
-9 -10 => -11 0.15
-9 -10 => -7 0.35
-9 -10 => -12 0.35
-9 -10 => -3 0.05
-9 -10 => -2 0.1
6 5 3 => 1 1.0
8 14 => 19 0.5
8 14 => 12 0.5
14 => 11 0.0606060606061
14 => 10 0.0606060606061
14 => 13 0.0606060606061
14 => 12 0.454545454545
14 => 17 0.0909090909091
14 => 19 0.0909090909091
14 => 18 0.030303030303
14 => -5 0.030303030303
14 => 9 0.0606060606061
14 => 8 0.0606060606061
13 7 => 6 1.0
-11 -14 => -13 0.5
-11 -14 => -12 0.5
22 => 20 1.0
-10 -2 => -4 1.0
-7 => -5 0.0444444444444
-7 => 13 0.0222222222222
-7 => -4 0.0666666666667
-7 => 1 0.0222222222222
-7 => -10 0.0666666666667
-7 => -6 0.0444444444444
-7 => -1 0.0222222222222
-7 => -14 0.0222222222222
-7 => -2 0.0222222222222
-7 => -9 0.488888888889
-7 => -8 0.177777777778
0 -5 => -1 0.5
0 -5 => -9 0.5
2 => -2 0.0697674418605
2 => 3 0.046511627907
2 => 1 0.139534883721
2 => 0 0.348837209302
2 => -7 0.0232558139535
2 => 5 0.093023255814
2 => 7 0.116279069767
2 => 6 0.0697674418605
2 => -1 0.093023255814
-4 -10 => -9 0.5
-4 -10 => -14 0.5
12 9 => 3 0.5
12 9 => 6 0.5
-5 -11 => -12 0.5
-5 -11 => -14 0.5
-12 -8 => -5 1.0
3 -5 => -7 1.0
4 3 2 => 1 1.0
8 -3 => 6 1.0
-4 2 => -7 0.5
