4 => 7 0.0512820512821
4 => 6 0.025641025641
4 => 129 0.0512820512821
4 => -29 0.025641025641
7 0 -32 => 9 1.0
-26 -5 => -4 1.0
7 4 0 => -36 1.0
7 -27 -15 => 3 0.5
7 -27 -15 => 12 0.5
9 3 7 => -32 1.0
-5 -4 -3 => -24 1.0
-3 -24 => 7 1.0
21 -3 => 24 1.0
-18 12 => -29 1.0
6 -12 => 7 1.0
12 -29 -17 => 12 0.5
12 -29 -17 => 7 0.5
-21 9 => 12 1.0
11 -31 => 12 1.0
15 => -32 0.2
15 => -31 0.2
15 => 16 0.6
9 129 => 5 0.5
9 129 => 6 0.5
21 => 24 0.0645161290323
21 => 20 0.0645161290323
21 => -3 0.0645161290323
21 => 0 0.0322580645161
21 => -24 0.0645161290323
21 => -27 0.0967741935484
21 => -20 0.0645161290323
21 => -32 0.0645161290323
21 => -31 0.0322580645161
21 => -5 0.0322580645161
21 => -10 0.0645161290323
21 => -15 0.0967741935484
21 => -22 0.0645161290323
21 => 7 0.0322580645161
21 => -19 0.0645161290323
21 => -8 0.0322580645161
21 => -29 0.0645161290323
3 2 => -19 0.125
3 2 => 0 0.625
3 2 => 3 0.125
3 2 => -9 0.125
-4 => 0 0.153846153846
-4 => 3 0.153846153846
-4 => -3 0.692307692308
3 -24 => 0 0.333333333333
3 -24 => -12 0.333333333333
3 -24 => -32 0.333333333333
21 -24 => -32 1.0
-31 9 6 => -36 0.5
-31 9 6 => -32 0.5
4 7 -24 => 12 1.0
-36 => 11 0.0322580645161
-36 => 10 0.0322580645161
-36 => 15 0.0645161290323
-36 => 21 0.0645161290323
-36 => -24 0.0322580645161
-36 => 3 0.193548387097
-36 => 5 0.0645161290323
-36 => 4 0.129032258065
-36 => 7 0.0322580645161
-36 => 9 0.0322580645161
-36 => -9 0.0322580645161
-36 => -8 0.290322580645
-15 -24 => 0 0.0769230769231
-15 -24 => -12 0.692307692308
-15 -24 => 21 0.230769230769
21 20 => -27 0.5
21 20 => -22 0.5
-8 0 => -24 0.25
-8 0 => -32 0.75
-20 16 => -29 1.0
-7 -4 => 0 1.0
6 -20 => 7 1.0
-15 -9 => 0 1.0
4 -34 => 9 0.5
4 -34 => 12 0.5
-24 12 => 0 0.571428571429
-24 12 => -12 0.285714285714
-24 12 => -32 0.142857142857
-28 5 => -27 1.0
-17 9 => 5 1.0
-32 7 0 => -34 1.0
5 -9 => -3 1.0
-32 3 7 => 9 1.0
-21 5 => 9 0.333333333333
-21 5 => -20 0.333333333333
-21 5 => 6 0.333333333333
-12 => 21 0.04
