melodic_variance,repeteadness_mean,repeteadness_variance,pitch_in_piece,weighted_abruptness,pitch_in_rules,branchiness_mean,branchiness_variance,melodic_mean,unweighted_abruptness,labels
0.24408284,7,4.118266184,20,12,2,3.153846154,2.668639053,1.423076923,2,Classical
0.416232639,14,16.55570221,23,12,3.541666667,4.166666667,4.826388889,2.020833333,1,Classical
0.241735537,6,2.885014793,15,1,0.909090909,3.363636364,3.32231405,1.409090909,2,Classical
0.501077255,16,20.56642906,21,1,3.754385965,3.368421053,1.601108033,1.912280702,4,Classical
0.640581717,13,13.85100942,22,1,2,3.105263158,2.462603878,1.868421053,1,Classical
0.133918757,12,12.36125013,46,4,10.66666667,4.661654135,8.8253717,1.919799499,21,Classical
0.247658689,10,8.256399584,26,1,1.483870968,3.290322581,1.431841831,1.451612903,3,Classical
0.464320988,12,11.17084289,36,2,2.266666667,3.666666667,3.244444444,1.811111111,1,Classical
0.232154303,30,79.50389454,54,2,2.496183206,3.801526718,5.136180875,1.633587786,2,Classical
0.444335938,6,2.822654269,12,2,2.875,3.6875,3.83984375,1.84375,4,Classical
0.90234375,5,1.987113263,12,3,1.5625,3.25,2.4375,1.8125,8,Classical
0.249134948,5.15,2.246135553,22,7,1.5,3.588235294,2.653979239,1.470588235,1,Classical
1.030963139,11.95,11.39314135,32,9,2.855172414,3.531034483,2.193864447,2.227586207,2,Classical
0.525416891,9.12,8.135928356,31,5,4.951048951,4.174825175,5.808596997,2.269230769,13,Classical
0.532544379,8.880952381,6.166221935,24,7,4.823076923,3.815384615,4.442840237,2.076923077,5,Classical
