melodic_variance,repeteadness_mean,repeteadness_variance,pitch_in_piece,weighted_abruptness,pitch_in_rules,branchiness_mean,pitch_between_rules,branchiness_variance,melodic_mean,unweighted_abruptness,label
0.325141777,4,1.08244898,29,24,1.565217391,3.130434783,"[3, 4, 17, 1, 8, 5, 2, 3, 1, 4, 5, 12, 11, 1, 1]",2.11342155,1.391304348,3,Rock
0.234375,1.994017094,0.187190251,22,17,3,2,"[3, 11, 3, 2, 17, 19]",1,1.375,3,Rock
0.857142857,3.802605459,1.080362289,21,10,8.857142857,2.571428571,"[8, 10, 10, 21, 21, 21, 13, 8, 21, 21, 8]",1.387755102,2,10,Rock
0.082644628,1.7,0.135510204,22,6,0.545454545,2.545454545,"[3, 6, 6, 3, 7, 12]",0.975206612,1.090909091,2,Rock
0.228373702,3,0.515306122,24,10,1.352941176,3.764705882,"[5, 9, 14, 3, 5, 2, 7]",3.121107266,1.352941176,8,Rock
5.854043393,11.89320652,11.39964181,33,30,17.84615385,2.769230769,"[31, 27, 30, 30, 30, 7, 19, 8, 20, 30, 4, 27, 19, 31, 31, 31, 27, 13, 13, 27, 11, 8, 30, 30, 27, 30, 30, 27, 27, 3, 27, 31, 31]",2.228796844,3.307692308,30,Rock
1.397842057,10,9.524092683,22,11,11.3030303,3.393939394,"[22, 8, 2, 2, 11, 22, 16, 18, 3, 17, 11, 9, 22, 11, 18, 18, 11, 1, 5, 11, 22, 11, 22, 22, 22, 13, 11, 9, 11, 22, 18, 13, 12, 17, 17, 11, 18, 18, 18, 6, 22, 17, 18, 2, 12, 11, 22, 11, 17, 22, 22, 18, 14, 11, 4, 22, 8, 16]",4.390266299,2.560606061,22,Rock
2.128888889,5.283098592,2.337278218,33,22,6.866666667,2.933333333,"[6, 10, 8, 6, 8, 11, 19, 26, 8, 10, 2, 10, 19, 19, 19, 19, 2, 19, 11, 8, 2, 2, 19]",1.662222222,2.266666667,8,Rock
0.404844291,8.991666667,7.116532635,24,9,2.235294118,3.176470588,"[7, 5, 5, 3, 4, 3, 4, 3, 2, 5, 2, 5, 4, 2, 2, 4, 2, 1, 2, 9, 7, 4, 9, 3, 5, 7, 2, 4, 1, 7, 2, 9, 10, 7, 7]",1.968858131,1.647058824,2,Rock
0.923076923,4,1.376843302,34,34,19.23076923,2.769230769,"[34, 3, 34, 34, 34, 34, 34, 34, 1, 3]",0.639053254,2,1,Rock
0.707986898,10,8.59289123,44,2,4.301587302,3.492063492,"[3, 10, 4, 2, 16, 9, 19, 2, 7, 7, 2, 5, 8, 14, 7, 22, 9, 11, 22, 12, 2, 3, 8, 15, 25, 18, 12, 3, 8, 10, 9, 3, 16, 1, 1, 4, 21, 5, 12, 3, 5, 3, 5, 12, 10, 12]",4.059460821,1.920634921,4,Rock
0.204081633,2.75,0.555555556,14,5,1.428571429,2.285714286,"[5, 2, 7]",0.489795918,1.285714286,5,Rock
0.780437045,9,7.298800998,17,3,2.290322581,3.032258065,"[9, 3, 5, 3, 7, 3, 4, 1, 2, 3, 7, 6, 7, 3, 7, 1, 1, 2, 6, 6, 3, 2, 7, 6, 6, 5]",1.257023933,1.838709677,3,Rock
0.288548753,6.9,3.600230622,45,17,2.404761905,3.095238095,"[3, 3, 9, 5, 3, 24, 2, 2, 20, 24, 2, 14, 3, 1, 7, 2, 19, 17, 6, 12, 5, 29, 5, 3, 2, 9, 2, 5, 17, 2, 16, 3, 4, 3]",2.752834467,1.404761905,17,Rock
