source	target	probability
-9|	17|-9	0.36363636363636365
-9|	22|-9	0.5
-9|	8|-9	0.25
-9|	15|-9	0.09090909090909091
-9|	24|-9	0.375
-9|	-13|-9	0.10526315789473684
-9|	-31|-9	0.42857142857142855
-9|	-33|-9	0.5
-9|	-34|-9	1.0
-9|	-30|-9	0.5
-9|	-37|-9	1.0
-9|	-36|-9	0.4
-9|	26|-9	1.0
-9|	20|-9	1.0
-9|	13|-9	0.25
-9|	18|-9	0.3333333333333333
-9|	27|-9	1.0
-9|	23|-9	1.0
-9|	31|-9	1.0
-9|	-35|-9	1.0
-9|	33|-9	1.0
-9|	-38|-9	0.5
-12|	42|	0.0002846569883290635
-12|	-39|	0.0002846569883290635
-12|	-5|-12	0.01098901098901099
-12|	4|-12	0.1276595744680851
-12|	7|-12	0.075
-12|	6|-12	0.18518518518518517
-12|	-9|-12	0.21621621621621623
-12|	-4|-12	0.047619047619047616
-12|	0|-12	0.022727272727272728
-12|	-26|-12	0.08333333333333333
-12|	-10|-12	0.16483516483516483
-12|	-3|-12	0.07462686567164178
-12|	-8|-12	0.19753086419753085
-12|	-7|-12	0.03125
-12|	-17|-12	0.010638297872340425
-12|	-11|-12	0.05
-12|	-13|-12	0.08
-12|	-30|-12	0.14285714285714285
-12|	128|-12	0.8289855072463768
-12|	-21|-12	0.4621212121212121
-12|	-18|-12	0.03571428571428571
-12|	-27|-12	0.18867924528301888
-12|	-19|-12	0.0975609756097561
-12|	-6|-12	0.3191489361702128
-12|	-1|-12	0.017857142857142856
-12|	-14|-12	0.17857142857142858
-12|	-22|-12	0.07894736842105263
-12|	5|-12	0.1111111111111111
-12|	-28|-12	0.3333333333333333
-12|	2|-12	0.02702702702702703
-12|	-2|-12	0.030303030303030304
-12|	1|-12	0.2
-12|	-23|-12	0.128
-12|	-29|-12	0.07692307692307693
-12|	-25|-12	0.07142857142857142
-12|	-15|-12	0.022222222222222223
-12|	3|-12	0.058823529411764705
-12|	-36|-12	0.3333333333333333
-12|	-24|-12	0.13333333333333333
-12|	-16|-12	0.1
-12|	-32|-12	0.3
-12|	-34|-12	0.14285714285714285
-12|	13|-12	0.5
-12|	14|-12	0.06666666666666667
-12|	-20|-12	0.09090909090909091
-12|	129|-12	0.06666666666666667
-12|	21|-12	0.1111111111111111
-12|	9|-12	0.09090909090909091
-12|	12|-12	0.10344827586206896
-12|	16|-12	0.1111111111111111
-12|	17|-12	0.16666666666666666
-12|	-31|-12	0.04
-12|	11|-12	0.14285714285714285
-12|	19|-12	0.08333333333333333
-12|	26|-12	0.3333333333333333
-12|	10|-12	0.125
-12|	8|-12	0.5
-12|	15|-12	0.2
-12|	24|-12	0.2
-12|	22|-12	1.0
-12|	-33|-12	0.3333333333333333
-12|	-37|-12	1.0
-12|	-35|-12	1.0
-12|	20|-12	0.5
-12|	18|-12	0.5
-12|	23|-12	0.25
-12|	28|-12	1.0
-12|	31|-12	0.5
-12|	-41|-12	1.0
-12|	25|-12	1.0
-12|	36|-12	1.0
-12|	-38|-12	1.0
-12|	30|-12	1.0
-34|	-5|-34	0.08695652173913043
-34|	-4|-34	0.5
-34|	-1|-34	0.05732484076433121
-34|	-23|-34	0.1
-34|	-25|-34	0.4
-34|	-27|-34	0.20588235294117646
-34|	-29|-34	0.13793103448275862
-34|	3|-34	0.2222222222222222
-34|	-15|-34	0.3333333333333333
-34|	-6|-34	0.2222222222222222
-34|	5|-34	0.09090909090909091
-34|	-28|-34	0.2
-34|	-12|-34	0.25
-34|	4|-34	0.05263157894736842
-34|	7|-34	0.125
-34|	-21|-34	0.09090909090909091
-34|	-9|-34	0.4
-34|	-32|-34	0.3333333333333333
-34|	0|-34	0.4841628959276018
-34|	-36|-34	0.06666666666666667
-34|	-24|-34	0.14285714285714285
-34|	-2|-34	0.14285714285714285
-34|	-31|-34	0.26666666666666666
-34|	-11|-34	0.16666666666666666
-34|	-8|-34	0.25
-34|	1|-34	1.0
-34|	-18|-34	0.25
-34|	2|-34	0.09090909090909091
-34|	-3|-34	0.2
-34|	12|-34	0.1111111111111111
-34|	-10|-34	0.2
-34|	-22|-34	0.16666666666666666
-34|	9|-34	0.2222222222222222
-34|	6|-34	0.16666666666666666
-34|	10|-34	0.3333333333333333
-34|	15|-34	0.5
-34|	14|-34	1.0
-34|	17|-34	0.5
-34|	11|-34	0.5
-34|	129|-34	0.5
-34|	-17|-34	0.09090909090909091
-34|	-20|-34	0.16666666666666666
-34|	128|-34	0.6153846153846154
-34|	-16|-34	0.5
-34|	-26|-34	0.5
-34|	-19|-34	0.14285714285714285
-34|	-14|-34	0.3333333333333333
-34|	-30|-34	0.6666666666666666
-34|	-7|-34	0.2
-34|	-35|-34	0.6363636363636364
-34|	-33|-34	0.6666666666666666
-34|	16|-34	1.0
-34|	26|-34	1.0
-2|	-60|	0.0005558643690939411
-2|	-5|-2	0.0784313725490196
-2|	-19|-2	0.045454545454545456
-2|	4|-2	0.05
-2|	-18|-2	0.09375
-2|	-16|-2	0.047619047619047616
